title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Legend,,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.",,,,,,"Blu-Ray, fantasy",,,0.00,,,,,1,92029178,,,,,,,,
Spawn,,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",,,,,,"4K, action",,,0.00,,,,,1,91963642,,,,,,,,
Rope,,Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.,,,,,,"4K, thriller",,,0.00,,,,,1,91898106,,,,,,,,
Super Mario Bros Movie,,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",,,,,,"4K, kids-family",,,0.00,,,,,1,91832570,,,,,,,,
One Battle After Another,,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",,,,,,"4K, drama",,,0.00,,,,,1,91767034,,,,,,,,
Oppenheimer,,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,,,,,,"4K, drama",,,0.00,,,,,1,91701498,,,,,,,,
Rear Window,,Temporary!!,,,,,,"4K, thriller",,,0.00,,,,,1,91635962,,,,,,,,
Civil War,,,,,,,,"4K, thriller",,,0.00,,,,,1,91570426,,,,,,,,
Jaws,,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again.",,,,,,"4K, horror",,,0.00,,,,,1,91504890,,,,,,,,
Lawrence of Arabia,,"During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks.",,,,,,"4K, drama",,,0.00,,,,,1,91439354,,,,,,,,
1917,,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",,,,,,"4K, action",,,0.00,,,,,1,91373818,,,,,,,,
Cinderella,,,,,,,,"4K, kids-family",,,0.00,,,,,1,91308282,,,,,,,,
The Big Lebowski,,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",,,,,,"4K, comedy",,,0.00,,,,,1,91242746,,,,,,,,
Alien,,,,,,,,"4K, sci-fi",,,0.00,,,,,1,91177210,,,,,,,,
Heat,,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,,,,,,"4K, action",,,0.00,,,,,1,91111674,,,,,,,,
Inglorious Basterds,,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",,,,,,"4K, action",,,0.00,,,,,1,91046138,,,,,,,,
Zodiac,,"Over the course of a decade, editors of the San Francisco Chronicle entice themselves in the murders of the Zodiac Killer. However, as time runs its course, interest in the case dwindles in the eyes of the professionals. The Killer stops interacting with the public. However, believing he has the answers, an amateur cartoonist from the initial sightings races against time to prevent what he believes is another murder.",,,,,,"4K, thriller",,,0.00,,,,,1,90947834,,,,,,,,
Weapons,,"Weapons presents a series of brutal, seemingly random youth-related killings over the course of a weekend in a typical small town in America, and tragically reveals how they are all interrelated.",,,,,,"4K, horror",,,0.00,,,,,1,90915066,,,,,,,,
Prometheus,,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",,,,,,"4K, sci-fi",,,0.00,,,,,1,90849530,,,,,,,,
Sorcerer,,"Four men from different parts of the globe, all hiding from their pasts in the same remote South American town, agree to risk their lives transporting several cases of dynamite (which is so old that it is dripping unstable nitroglycerin) across dangerous jungle terrain.",,,,,,"4K, thriller",,,0.00,,,,,1,90783994,,,,,,,,
